#,uniqueID,Name,Type 1,Type 2,Total,HP,Attack,Defense,Sp. Atk,Sp. Def,Speed,Generation,Legendary,EXP,MALE,FEMALE,Catch Rate,HEIGHT(dm),WEIGHT(hectogram) ,FRIENDSHIP,BASE EXP YEILD,HP,Attack,Defense,Sp. Attack,Sp. Defense,Speed,Total EVs,Egg Group 1,Egg Group 2,Cycles,Steps,Gen III,Gen IV,Gen V-VI,Gen VII
1,1,Bulbasaur,Grass,Poison,318,45,49,49,65,65,45,1,FALSE,MS,87.5,12.5,45,7,69,70,64,0,0,0,1,0,0,1,Monster,Grass,20,5120,5376,5355,5140,5120
2,2,Ivysaur,Grass,Poison,405,60,62,63,80,80,60,1,FALSE,MS,87.5,12.5,45,10,130,70,142,0,0,0,1,1,0,2,Monster,Grass,20,5120,5376,5355,5140,5120
3,3,Venusaur,Grass,Poison,525,80,82,83,100,100,80,1,FALSE,MS,87.5,12.5,45,20,1000,70,236,0,0,0,2,1,0,3,Monster,Grass,20,5120,5376,5355,5140,5120
3,003M,Venusaur (Mega Venusaur),Grass,Poison,625,80,100,123,122,120,80,1,FALSE,MS,87.5,12.5,45,24,1555,70,281,0,0,0,2,1,0,3,Monster,Grass,20,5120,5376,5355,5140,5120
4,4,Charmander,Fire,,309,39,52,43,60,50,65,1,FALSE,MS,87.5,12.5,45,6,85,70,62,0,0,0,0,0,1,1,Monster,Dragon,20,5120,5376,5355,5140,5120
5,5,Charmeleon,Fire,,405,58,64,58,80,65,80,1,FALSE,MS,87.5,12.5,45,11,190,70,142,0,0,0,1,0,1,2,Monster,Dragon,20,5120,5376,5355,5140,5120
6,6,Charizard,Fire,Flying,534,78,84,78,109,85,100,1,FALSE,MS,87.5,12.5,45,17,905,70,240,0,0,0,3,0,0,3,Monster,Dragon,20,5120,5376,5355,5140,5120
6,006MX,Charizard (Mega Charizard X),Fire,Dragon,634,78,130,111,130,85,100,1,FALSE,MS,87.5,12.5,45,17,1105,70,285,0,0,0,3,0,0,3,Monster,Dragon,20,5120,5376,5355,5140,5120
6,006MY,Charizard (Mega Charizard Y),Fire,Flying,634,78,104,78,159,115,100,1,FALSE,MS,87.5,12.5,45,17,1005,70,285,0,0,0,3,0,0,3,Monster,Dragon,20,5120,5376,5355,5140,5120
7,7,Squirtle,Water,,314,44,48,65,50,64,43,1,FALSE,MS,87.5,12.5,45,5,90,70,63,0,0,1,0,0,0,1,Monster,Water 1,20,5120,5376,5355,5140,5120
8,8,Wartortle,Water,,405,59,63,80,65,80,58,1,FALSE,MS,87.5,12.5,45,10,225,70,142,0,0,1,0,1,0,2,Monster,Water 1,20,5120,5376,5355,5140,5120
9,9,Blastoise,Water,,530,79,83,100,85,105,78,1,FALSE,MS,87.5,12.5,45,16,855,70,239,0,0,0,0,3,0,3,Monster,Water 1,20,5120,5376,5355,5140,5120
9,009M,Blastoise (Mega Blastoise),Water,,630,79,103,120,135,115,78,1,FALSE,MS,87.5,12.5,45,16,1011,70,284,0,0,0,0,3,0,3,Monster,Water 1,20,5120,5376,5355,5140,5120
10,10,Caterpie,Bug,,195,45,30,35,20,20,45,1,FALSE,MF,50,50,255,3,29,70,39,1,0,0,0,0,0,1,Bug,—,10,2560,2816,2805,2570,2560
11,11,Metapod,Bug,,205,50,20,55,25,25,30,1,FALSE,MF,50,50,120,7,99,70,72,0,0,2,0,0,0,2,Bug,—,10,2560,2816,2805,2570,2560
12,12,Butterfree,Bug,Flying,395,60,45,50,90,80,70,1,FALSE,MF,50,50,45,11,320,70,178,0,0,0,2,1,0,3,Bug,—,10,2560,2816,2805,2570,2560
13,13,Weedle,Bug,Poison,195,40,35,30,20,20,50,1,FALSE,MF,50,50,255,3,32,70,39,0,0,0,0,0,1,1,Bug,—,10,2560,2816,2805,2570,2560
14,14,Kakuna,Bug,Poison,205,45,25,50,25,25,35,1,FALSE,MF,50,50,120,6,100,70,72,0,0,2,0,0,0,2,Bug,—,10,2560,2816,2805,2570,2560
15,15,Beedrill,Bug,Poison,395,65,90,40,45,80,75,1,FALSE,MF,50,50,45,10,295,70,178,0,2,0,0,1,0,3,Bug,—,10,2560,2816,2805,2570,2560
15,015M,Beedrill (Mega Beedrill),Bug,Poison,495,65,150,40,15,80,145,1,FALSE,MF,50,50,45,14,405,70,223,0,2,0,0,1,0,3,Bug,—,10,2560,2816,2805,2570,2560
16,16,Pidgey,Normal,Flying,251,40,45,40,35,35,56,1,FALSE,MS,50,50,255,3,18,70,50,0,0,0,0,0,1,1,Flying,—,15,3840,4096,4080,3855,3840
17,17,Pidgeotto,Normal,Flying,349,63,60,55,50,50,71,1,FALSE,MS,50,50,120,11,300,70,122,0,0,0,0,0,2,2,Flying,—,15,3840,4096,4080,3855,3840
18,18,Pidgeot,Normal,Flying,479,83,80,75,70,70,101,1,FALSE,MS,50,50,45,15,395,70,216,0,0,0,0,0,3,3,Flying,—,15,3840,4096,4080,3855,3840
18,018M,Pidgeot (Mega Pidgeot),Normal,Flying,579,83,80,80,135,80,121,1,FALSE,MS,50,50,45,22,505,70,261,0,0,0,0,0,3,3,Flying,—,15,3840,4096,4080,3855,3840
19,19,Rattata,Normal,,253,30,56,35,25,35,72,1,FALSE,MF,50,50,255,3,35,70,51,0,0,0,0,0,1,1,Field,—,15,3840,4096,4080,3855,3840
20,20,Raticate,Normal,,413,55,81,60,50,70,97,1,FALSE,MF,50,50,127,7,185,70,145,0,0,0,0,0,2,2,Field,—,15,3840,4096,4080,3855,3840
21,21,Spearow,Normal,Flying,262,40,60,30,31,31,70,1,FALSE,MF,50,50,255,3,20,70,52,0,0,0,0,0,1,1,Flying,—,15,3840,4096,4080,3855,3840
22,22,Fearow,Normal,Flying,442,65,90,65,61,61,100,1,FALSE,MF,50,50,90,12,380,70,155,0,0,0,0,0,2,2,Flying,—,15,3840,4096,4080,3855,3840
23,23,Ekans,Poison,,288,35,60,44,40,54,55,1,FALSE,MF,50,50,255,20,69,70,58,0,1,0,0,0,0,1,Field,Dragon,20,5120,5376,5355,5140,5120
24,24,Arbok,Poison,,438,60,85,69,65,79,80,1,FALSE,MF,50,50,90,35,650,70,157,0,2,0,0,0,0,2,Field,Dragon,20,5120,5376,5355,5140,5120
25,25,Pikachu,Electric,,320,35,55,40,50,50,90,1,FALSE,MF,50,50,190,4,60,70,112,0,0,0,0,0,2,2,Field,Fairy,20,5120,5376,5355,5140,5120
26,26,Raichu,Electric,,485,60,90,55,90,80,110,1,FALSE,MF,50,50,75,8,300,70,218,0,0,0,0,0,3,3,Field,Fairy,20,5120,5376,5355,5140,5120
27,27,Sandshrew,Ground,,300,50,75,85,20,30,40,1,FALSE,MF,50,50,255,6,120,70,60,0,0,1,0,0,0,1,Field,—,20,5120,5376,5355,5140,5120
28,28,Sandslash,Ground,,450,75,100,110,45,55,65,1,FALSE,MF,50,50,90,10,295,70,158,0,0,2,0,0,0,2,Field,—,20,5120,5376,5355,5140,5120
29,29,Nidoran,Poison,,275,55,47,52,40,40,41,1,FALSE,MS,0,100,235,4,70,70,55,1,0,0,0,0,0,1,Monster,Field,20,5120,5376,5355,5140,5120
30,30,Nidorina,Poison,,365,70,62,67,55,55,56,1,FALSE,MS,0,100,120,8,200,70,128,2,0,0,0,0,0,2,Undiscovered,—,20,5120,5376,5355,5140,5120
31,31,Nidoqueen,Poison,Ground,505,90,92,87,75,85,76,1,FALSE,MS,0,100,45,13,600,70,227,3,0,0,0,0,0,3,Undiscovered,—,20,5120,5376,5355,5140,5120
32,32,Nidoran,Poison,,273,46,57,40,40,40,50,1,FALSE,MS,100,0,235,5,90,70,55,0,1,0,0,0,0,1,Monster,Field,20,5120,5376,5355,5140,5120
33,33,Nidorino,Poison,,365,61,72,57,55,55,65,1,FALSE,MS,100,0,120,9,195,70,128,0,2,0,0,0,0,2,Monster,Field,20,5120,5376,5355,5140,5120
34,34,Nidoking,Poison,Ground,505,81,102,77,85,75,85,1,FALSE,MS,100,0,45,14,620,70,227,0,3,0,0,0,0,3,Monster,Field,20,5120,5376,5355,5140,5120
35,35,Clefairy,Fairy,,323,70,45,48,60,65,35,1,FALSE,FA,25,75,150,6,75,140,113,2,0,0,0,0,0,2,Fairy,—,20,5120,5376,5355,5140,5120
36,36,Clefable,Fairy,,483,95,70,73,95,90,60,1,FALSE,FA,25,75,25,13,400,140,217,3,0,0,0,0,0,3,Fairy,—,20,5120,5376,5355,5140,5120
37,37,Vulpix,Fire,,299,38,41,40,50,65,65,1,FALSE,MF,25,75,190,6,99,70,60,0,0,0,0,0,1,1,Field,—,20,5120,5376,5355,5140,5120
38,38,Ninetales,Fire,,505,73,76,75,81,100,100,1,FALSE,MF,25,75,75,11,199,70,177,0,0,0,0,1,1,2,Field,—,20,5120,5376,5355,5140,5120
39,39,Jigglypuff,Normal,Fairy,270,115,45,20,45,25,20,1,FALSE,FA,25,75,170,5,55,70,95,2,0,0,0,0,0,2,Fairy,—,20,5120,5376,5355,5140,5120
40,40,Wigglytuff,Normal,Fairy,435,140,70,45,85,50,45,1,FALSE,FA,25,75,50,10,120,70,196,3,0,0,0,0,0,3,Fairy,—,20,5120,5376,5355,5140,5120
41,41,Zubat,Poison,Flying,245,40,45,35,30,40,55,1,FALSE,MF,50,50,255,8,75,70,49,0,0,0,0,0,1,1,Flying,—,15,3840,4096,4080,3855,3840
42,42,Golbat,Poison,Flying,455,75,80,70,65,75,90,1,FALSE,MF,50,50,90,16,550,70,159,0,0,0,0,0,2,2,Flying,—,15,3840,4096,4080,3855,3840
43,43,Oddish,Grass,Poison,320,45,50,55,75,65,30,1,FALSE,MS,50,50,255,5,54,70,64,0,0,0,1,0,0,1,Grass,—,20,5120,5376,5355,5140,5120
44,44,Gloom,Grass,Poison,395,60,65,70,85,75,40,1,FALSE,MS,50,50,120,8,86,70,138,0,0,0,2,0,0,2,Grass,—,20,5120,5376,5355,5140,5120
45,45,Vileplume,Grass,Poison,490,75,80,85,110,90,50,1,FALSE,MS,50,50,45,12,186,70,221,0,0,0,3,0,0,3,Grass,—,20,5120,5376,5355,5140,5120
46,46,Paras,Bug,Grass,285,35,70,55,45,55,25,1,FALSE,MF,50,50,190,3,54,70,57,0,1,0,0,0,0,1,Bug,Grass,20,5120,5376,5355,5140,5120
47,47,Parasect,Bug,Grass,405,60,95,80,60,80,30,1,FALSE,MF,50,50,75,10,295,70,142,0,2,1,0,0,0,3,Bug,Grass,20,5120,5376,5355,5140,5120
48,48,Venonat,Bug,Poison,305,60,55,50,40,55,45,1,FALSE,MF,50,50,190,10,300,70,61,0,0,0,0,1,0,1,Bug,—,20,5120,5376,5355,5140,5120
49,49,Venomoth,Bug,Poison,450,70,65,60,90,75,90,1,FALSE,MF,50,50,75,15,125,70,158,0,0,0,1,0,1,2,Bug,—,20,5120,5376,5355,5140,5120
50,50,Diglett,Ground,,265,10,55,25,35,45,95,1,FALSE,MF,50,50,255,2,8,70,53,0,0,0,0,0,1,1,Field,—,20,5120,5376,5355,5140,5120
51,51,Dugtrio,Ground,,405,35,80,50,50,70,120,1,FALSE,MF,50,50,50,7,333,70,149,0,0,0,0,0,2,2,Field,—,20,5120,5376,5355,5140,5120
52,52,Meowth,Normal,,290,40,45,35,40,40,90,1,FALSE,MF,50,50,255,4,42,70,58,0,0,0,0,0,1,1,Field,—,20,5120,5376,5355,5140,5120
53,53,Persian,Normal,,440,65,70,60,65,65,115,1,FALSE,MF,50,50,90,10,320,70,154,0,0,0,0,0,2,2,Field,—,20,5120,5376,5355,5140,5120
54,54,Psyduck,Water,,320,50,52,48,65,50,55,1,FALSE,MF,50,50,190,8,196,70,64,0,0,0,1,0,0,1,Water 1,Field,20,5120,5376,5355,5140,5120
55,55,Golduck,Water,,500,80,82,78,95,80,85,1,FALSE,MF,50,50,75,17,766,70,175,0,0,0,2,0,0,2,Water 1,Field,20,5120,5376,5355,5140,5120
56,56,Mankey,Fighting,,305,40,80,35,35,45,70,1,FALSE,MF,50,50,190,5,280,70,61,0,1,0,0,0,0,1,Field,—,20,5120,5376,5355,5140,5120
57,57,Primeape,Fighting,,455,65,105,60,60,70,95,1,FALSE,MF,50,50,75,10,320,70,159,0,2,0,0,0,0,2,Field,—,20,5120,5376,5355,5140,5120
58,58,Growlithe,Fire,,350,55,70,45,70,50,60,1,FALSE,SL,75,25,190,7,190,70,70,0,1,0,0,0,0,1,Field,—,20,5120,5376,5355,5140,5120
59,59,Arcanine,Fire,,555,90,110,80,100,80,95,1,FALSE,SL,75,25,75,19,1550,70,194,0,2,0,0,0,0,2,Field,—,20,5120,5376,5355,5140,5120
60,60,Poliwag,Water,,300,40,50,40,40,40,90,1,FALSE,MS,50,50,255,6,124,70,60,0,0,0,0,0,1,1,Water 1,—,20,5120,5376,5355,5140,5120
61,61,Poliwhirl,Water,,385,65,65,65,50,50,90,1,FALSE,MS,50,50,120,10,200,70,135,0,0,0,0,0,2,2,Water 1,—,20,5120,5376,5355,5140,5120
